"","Q_Year","Linf","K","t0","a","b"
"1",1999,33.3920697106619,0.326982016660236,-0.559762299672584,0.00360069553614062,3.24775684114137
"2",2000,33.3793432439207,0.341115395020328,-0.626163874310821,0.00300867906222853,3.28043769135974
"3",2001,33.1471848664813,0.395645275820979,-0.277090219184734,0.0028525094375263,3.30362839935902
"4",2002,33.7943886896263,0.37983939173904,-0.203805910324721,0.00222321958891588,3.37210132503486
"5",2003,33.9201116235626,0.356717592108301,-0.229208776701939,0.00248853625293966,3.33931063491751
"6",2004,31.9988568854058,0.481814433230477,0.208586713278999,0.00249388908683318,3.34001047101638
"7",2005,32.1863224701386,0.415987656920372,0.0496723226044326,0.00266886523026004,3.31829327613488
"8",2006,31.723503031476,0.427683113309082,-0.199909489455402,0.00255403117692528,3.34178253762743
"9",2007,32.5248826433533,0.400193441106043,-0.298966104022904,0.00238348011337854,3.36542755210974
"10",2008,31.9671256009419,0.465575362376362,0.112859748309516,0.0021245637269231,3.40390628718978
"11",2009,32.7484400213513,0.409297087294672,-0.00725592616613205,0.00228416601386231,3.37428874557233
"12",2010,33.162557347798,0.340217737320162,-0.298128115409844,0.00184619618079814,3.42560323959725
"13",2011,32.8984401341257,0.314601211510321,-0.588546155155403,0.00294426687156713,3.29656019392756
"14",2012,32.232981446838,0.313934130772841,-0.77926248991252,0.00254092395733826,3.33523289234375
"15",2013,30.7911550518569,0.356177337714117,-0.804723355597459,0.00320404390189635,3.26912075131384
"16",2014,29.8505821240975,0.535164299540371,0.162680619059013,0.00202254413739198,3.42065719619916
"17",2015,30.8190147010263,0.449162525111048,-0.173407897673733,0.00171060245023001,3.46660283390638
"18",2016,30.6690201271379,0.455822540928932,-0.0688197852118518,0.00198450134779049,3.41666904071086
"19",2017,31.2101363203673,0.400078603086554,-0.342679512909083,0.00312035223196256,3.25780581872722
"20",2018,31.415163396045,0.352189905832808,-0.850246210029287,0.00293280757257409,3.28665332821767
